unnamed:_0_level_0_player,unnamed:_1_level_0_nation,unnamed:_2_level_0_pos,unnamed:_3_level_0_age,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_plus_a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,unnamed:_33_level_0_matches,team_name,team_url
,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Jeremy Sarmiento,ec ECU,MF,22,1,0,9,0.1,0,0,0,0,0,0,0,0,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Harry Howell,eng ENG,FW,15,1,0,7,0.1,0,0,0,0,0,0,0,0,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Valentín Barco,ar ARG,"DF,MF",20,0,0,,,,,,,,,,,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Killian Cahill,ie IRL,GK,20,0,0,,,,,,,,,,,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Joe Knight,eng ENG,MF,18,0,0,,,,,,,,,,,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Ruairi Mcconville,nir NIR,DF,19,0,0,,,,,,,,,,,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Mark O'Mahony,ie IRL,FW,19,0,0,,,,,,,,,,,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Carl Rushworth,eng ENG,GK,23,0,0,,,,,,,,,,,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Imari Samuels,eng ENG,DF,21,0,0,,,,,,,,,,,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Freddie Simmonds,eng ENG,DF,16,0,0,,,,,,,,,,,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Jacob Slater,ie IRL,DF,19,0,0,,,,,,,,,,,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Charlie Tasker,eng ENG,DF,18,0,0,,,,,,,,,,,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Squad Total,,,24.8,38,418,3420,38.0,64,41,105,57,7,7,78,3,,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Opponent Total,,,26.2,38,418,3420,38.0,57,39,96,48,9,9,93,5,,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
