Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Unnamed: 33_level_0 Matches,team_name,team_url
Maxwel Cornet,ci CIV,FW,27,2,1,72,0.8,0,0,0,0,0,0,1,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Samuel Edozie,eng ENG,"DF,FW",21,2,0,65,0.7,0,0,0,0,0,0,1,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Samuel Amo-Ameyaw,eng ENG,"FW,DF",18,2,0,28,0.3,0,0,0,0,0,0,1,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Joachim Kayi Sanda,fr FRA,DF,17,2,0,14,0.2,0,0,0,0,0,0,0,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Ronnie Edwards,eng ENG,DF,21,1,0,12,0.1,0,0,0,0,0,0,0,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Carlos Alcaraz,ar ARG,MF,21,1,0,10,0.1,0,0,0,0,0,0,0,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Jayden Moore,,DF,,0,0,,,,,,,,,,,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Joe O'Brien-Whitmarsh,ie IRL,MF,19,0,0,,,,,,,,,,,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Squad Total,,,25.2,38,418,3420,38.0,25,16,41,25,0,2,89,3,,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Opponent Total,,,26.2,38,418,3420,38.0,86,61,147,79,7,9,54,1,,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
