unnamed:_0_level_0_player,unnamed:_1_level_0_nation,unnamed:_2_level_0_pos,unnamed:_3_level_0_age,unnamed:_4_level_0_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_plus_a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,unnamed:_33_level_0_matches,team_name,team_url
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Matches,Tottenham,https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats
Will Lankshear,eng ENG,"FW,MF",19,3,0,11,0.1,0,0,0,0,0,0,0,0,Matches,Tottenham,https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats
Oyindamola Ajayi,eng ENG,MF,18,0,0,,,,,,,,,,,Matches,Tottenham,https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats
Dante Cassanova,jm JAM,DF,20,0,0,,,,,,,,,,,Matches,Tottenham,https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats
Alfie Devine,eng ENG,MF,19,0,0,,,,,,,,,,,Matches,Tottenham,https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats
Malachi Hardy,eng ENG,DF,16,0,0,,,,,,,,,,,Matches,Tottenham,https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats
Maeson King,eng ENG,DF,18,0,0,,,,,,,,,,,Matches,Tottenham,https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats
Yang Minhyeok,kr KOR,MF,18,0,0,,,,,,,,,,,Matches,Tottenham,https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats
Callum Olusesi,eng ENG,MF,17,0,0,,,,,,,,,,,Matches,Tottenham,https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats
Alfie Whiteman,eng ENG,GK,25,0,0,,,,,,,,,,,Matches,Tottenham,https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats
Luca Williams Barnett,eng ENG,FW,15,0,0,,,,,,,,,,,Matches,Tottenham,https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats
Squad Total,,,25.0,38,418,3420,38.0,61,47,108,58,3,4,72,1,,Tottenham,https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats
Opponent Total,,,26.2,38,418,3420,38.0,61,43,104,58,3,3,85,3,,Tottenham,https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats
